Timestamp,Are you experiencing e-learning under the pandemic situation?,How satisfied or dissatisfied were you with e-learning under the pandemic situation?,How satisfied or dissatisfied were you with the online interaction you had with the lecturers?,How satisfied or dissatisfied were you with the course level of engagement?,How satisfied or dissatisfied were you with the lecture's various online teaching approaches?,How satisfied or dissatisfied were you with the e-learning materials?,How satisfied or dissatisfied were you with your grades with e-learning?,How satisfied or dissatisfied were you with satisfied with staff responsiveness to technical support?,What type of learning method (or methods) are you recommending as future learning,What kind of device you used for e-learning?,How satisfied or dissatisfied were you with satisfied with your internet connectivity?,How often did you face connection interruptions during lectures?, What kind of network you are using for e-learning?,What is your university?,What is your degree program?,Your gender, What is your age?,What is your district?, What is the nearest city to your home?,What is your grama niladhari divisions?
2021/11/11 8:45:43 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,University of Ruhuna,Electrical and Information Engineering,Male,25,Kegalle,Kegalle,Morawaka
2021/11/11 8:53:32 pm GMT+5:30,Yes,Satisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Blended classrooms,Computer,Neither Satisfied nor Dissatisfied,Often,Wireless connectivity,University of Ruhuna,Electrical and Information Engineering,Female,25,Anuradhapura,Anuradhapura,Nuwaragam platha East
2021/11/11 8:54:31 pm GMT+5:30,Yes,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Only face to face classrooms,Computer,Satisfied,Sometimes,Wireless connectivity,University of Ruhuna,BSc. Electrical and Information Engineering ,Female,25,Kalutara,Mathugama,Pelawatta
2021/11/11 8:59:23 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Very Dissatisfied,Always,Wireless connectivity,University of Ruhuna,Engineering ,Female,26,Badulla,Badulla,Badulla Western C
2021/11/11 9:00:40 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Dissatisfied,Often,Wireless connectivity,University of Ruhuna ,Electrical and Information Engineering ,Female,25,Colombo,,
2021/11/11 9:08:14 pm GMT+5:30,Yes,Very Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,university of ruhuna,Electrical and information Engineering,Male,25,Kegalle,Deraniyagala,Keerihena
2021/11/11 9:18:59 pm GMT+5:30,Yes,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neither Satisfied nor Dissatisfied,Only online classes,Computer,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,Ruhuna ,Bsc Engineering,Male,25,Kurunegala,Polgahawela,
2021/11/11 9:23:14 pm GMT+5:30,Yes,Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Only face to face classrooms,Computer,Very Dissatisfied,Always,Wireless connectivity,University of Ruhuna,Engineering ,Female,27,Matara,Hakmana,
2021/11/11 9:44:30 pm GMT+5:30,Yes,Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Only online classes,Computer,Satisfied,Sometimes,Wireless connectivity,University of ruhuna,Electrical and information engineering ,Female,26,Anuradhapura,,
2021/11/11 11:47:41 pm GMT+5:30,Yes,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Only online classes,Computer,Dissatisfied,Sometimes,Cable connectivity,University of Ruhuna,Electrical and Information Engineering ,Male,26,Kurunegala,Kurunegala ,Kanumale
2021/11/12 9:38:04 am GMT+5:30,Yes,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Dissatisfied,Only face to face classrooms,Computer,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,University of Ruhuna,Engineering ,Male,27,Kegalle,Kegalle,Udakarandupana
2021/11/12 11:16:22 pm GMT+5:30,Yes,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Only online classes,Phone,Very Satisfied,Always,Wireless connectivity,University of Moratuwa,ITM,Male,25,Puttalam,Chilaw,Chilaw
2021/11/13 9:20:38 am GMT+5:30,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Computer,Satisfied,Rarely,Wireless connectivity,University of ruhuna,Engineering,Male,22,Hambantota,Tangalle,Kandurupokuna east
2021/11/13 9:34:19 am GMT+5:30,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Computer,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,University of ruhuna,Engineering ,Male,25 years ,Ratnapura,embilipitiya,mullendiyawala 
2021/11/13 9:34:37 am GMT+5:30,Yes,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Satisfied,Sometimes,Wireless connectivity,University of moratuwa,Bsc engineering ,Female,24,Hambantota,Tangalle ,Kandurupokuna east
2021/11/13 9:48:34 am GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,Blended classrooms,Computer,Dissatisfied,Sometimes,Wireless connectivity,University of moratuwa,BSc Eng,Male,24,Badulla,,
2021/11/13 9:59:59 am GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,Blended classrooms,Computer,Neither Satisfied nor Dissatisfied,Rarely,Wireless connectivity,University of Colombo ,Biochemistry and Molecular Biology,Female,24,Galle,Galle,
2021/11/13 10:21:46 am GMT+5:30,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Phone,Satisfied,Sometimes,Cable connectivity,University Of Ruhuna ,BA(Hons)Special History ,Female,22,Kegalle,Awissawella,Amithirigala 
2021/11/13 10:34:19 am GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Blended classrooms,Phone,Very Dissatisfied,Always,Wireless connectivity,University of Ruhuna,Engineering ,Male,23,Hambantota,Walasmulle,Omara
2021/11/13 11:05:25 am GMT+5:30,Yes,Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Phone,Dissatisfied,Often,Wireless connectivity,University of Moratuwa,Engineering ,Male,23,Kalutara,Bulathsinhala ,Egaloya-821D
2021/11/13 11:36:06 am GMT+5:30,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Phone,Satisfied,Sometimes,Wireless connectivity,Peradeniya ,Veterinary medicine ,Female,24,Matara,Urubokka ,Ginnaliya west
2021/11/13 1:22:03 pm GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Tablet,Satisfied,Sometimes,Fiber optic connectivity,KDU,Bsc.(Hons) in Engineering,Male,18,Gampaha,Ragama,
2021/11/13 2:11:05 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Satisfied,Sometimes,Wireless connectivity,Ruhuna ,Engineering ,Male,23,Badulla,Badulla ,78-D Central 
2021/11/13 2:23:49 pm GMT+5:30,Yes,Satisfied,Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Blended classrooms,Computer,Dissatisfied,Rarely,Fiber optic connectivity,University of Ruhuna ,Engineering ,Male,23,Matara,,
2021/11/13 3:16:30 pm GMT+5:30,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Computer,Satisfied,Sometimes,Fiber optic connectivity,KDU,ENG,Male,21,Kalutara,,
2021/11/13 3:28:15 pm GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Only face to face classrooms,Computer,Satisfied,Rarely,Fiber optic connectivity,University of ruhuna,Engineering ,Male,23,Galle,Galle,Bope poddala
2021/11/13 3:30:07 pm GMT+5:30,Yes,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Blended classrooms,Computer,Satisfied,Sometimes,Wireless connectivity,University of Ruhuna,Engineering,Male,22,Badulla,Badulla,
2021/11/13 8:27:25 pm GMT+5:30,Yes,Satisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Only online classes,Computer,Dissatisfied,Sometimes,Wireless connectivity,University of Moratuwa,Engineering ,Male,24,Galle,Karapitiya,Addaragoda
2021/11/13 11:29:44 pm GMT+5:30,Yes,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Computer,Satisfied,Sometimes,Wireless connectivity,General Sir John Kothalawela Defence University ,Engineering ,Female,19,Colombo,,
2021/11/14 2:32:05 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Blended classrooms,Tablet,Neither Satisfied nor Dissatisfied,Sometimes,Wireless connectivity,Ruhuna,Engineering ,Female,25,Galle,Galle,Bope Poddala
2021/11/14 3:02:54 pm GMT+5:30,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Only online classes,Computer,Satisfied,Sometimes,Wireless connectivity,SLIIT ,Software Engineering ,Female,25,Galle,Galle,Paliwathugoda
2021/11/14 6:45:23 pm GMT+5:30,Yes,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Blended classrooms,Phone,Dissatisfied,Sometimes,Wireless connectivity,Institute of Software Engineering,Software Engineering,Male,22,Galle,Hikkaduwa,Malawanna
2021/11/14 6:54:22 pm GMT+5:30,Yes,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Only face to face classrooms,Phone,Very Dissatisfied,Sometimes,Wireless connectivity,ijse,gdse,Male,21,Kalutara,galle,mapalagama
